ENG_CLASS,RECONSTRUCTION_ERROR,TYPE_DATASET,LOG_RECONSTRUCTION_ERROR
screw_allenkey_2,216.53143,ANOMALY,5.377735710116095
screw_allenkey_1,199.491,ANOMALY,5.295769122530351
screw_1432,7.4202824,ANOMALY,2.0042171157542437
screw_1432,11.000206,ANOMALY,2.397913999895745
screw_1432,12.719404,ANOMALY,2.5431287014683184
screw,0.5967699,ANOMALY,-0.516223667021343
screw_1342,13.644436,ANOMALY,2.6133318194841233
unscrew_allenkey_2,230.10332,ANOMALY,5.438528425446574
screw_allenkey_1,208.72919,ANOMALY,5.341037670138969
unscrew_allenkey_2,236.30374,ANOMALY,5.465118011405741
screw_1234,19.890316,ANOMALY,2.990232980120271
unscrew_allenkey_1,204.18314,ANOMALY,5.319017336210141
screw,0.79625475,ANOMALY,-0.22783610665044893
screw,0.76327443,ANOMALY,-0.27013764001827034
unscrew_allenkey_2,227.27051,ANOMALY,5.426140982010332
unscrew_allenkey_2,219.49036,ANOMALY,5.391308313555358
screw_1234,9.898359,ANOMALY,2.2923689858254814
screw_allenkey_1,215.35577,ANOMALY,5.372291404733005
screw_allenkey_2,223.91013,ANOMALY,5.411244765993494
screw_1432,10.724851,ANOMALY,2.372563571943682
unscrew_allenkey_2,229.97246,ANOMALY,5.437959562623458
unscrew,12.824398,ANOMALY,2.551349450383987
screw_1432,11.5763035,ANOMALY,2.4489602070228145
unscrew_allenkey_1,213.9938,ANOMALY,5.365947042639539
unscrew_allenkey_1,228.32428,ANOMALY,5.430766899173012
screw_allenkey_1,224.15347,ANOMALY,5.412330951186509
screw_1234,9.514954,ANOMALY,2.25286466626454
screw_1432,7.5483656,ANOMALY,2.021331063005252
unscrew_allenkey_2,229.57706,ANOMALY,5.436238746561799
unscrew_allenkey_1,204.79672,ANOMALY,5.322017877412101
unscrew,3.7992344,ANOMALY,1.3347995727495803
screw_1342,11.41221,ANOMALY,2.434683834864384
screw_2413,6.9849586,ANOMALY,1.943759065704961
screw_1234,11.133934,ANOMALY,2.4099975619549916
screw_1342,14.239514,ANOMALY,2.6560207761879315
unscrew_allenkey_1,207.09639,ANOMALY,5.333184337056953
unscrew_allenkey_1,219.02399,ANOMALY,5.389181267196059
unscrew,29.508684,ANOMALY,3.3846845929079343
unscrew_allenkey_2,225.40903,ANOMALY,5.417916662915013
screw_allenkey_1,198.9755,ANOMALY,5.293181701567258
unscrew_allenkey_1,234.43408,ANOMALY,5.457174439625861
screw,0.47669703,ANOMALY,-0.7408741471243088
screw,0.6044054,ANOMALY,-0.5035101141429883
screw_allenkey_2,234.9587,ANOMALY,5.4594097540184015
screw_1432,7.593448,ANOMALY,2.0272857702026674
unscrew,16.711716,ANOMALY,2.816110030332942
screw_1234,13.80435,ANOMALY,2.624983759883899
unscrew_allenkey_2,211.78975,ANOMALY,5.355594037284252
screw_2413,6.551959,ANOMALY,1.8797640888999316
screw_1234,11.163782,ANOMALY,2.4126747884321844
unscrew,1.637047,ANOMALY,0.49289400903365455
screw,0.79729956,ANOMALY,-0.22652481133637561
unscrew_allenkey_1,198.52478,ANOMALY,5.290913928607886
screw_1432,10.761713,ANOMALY,2.3759947428060393
screw_1234,8.308608,ANOMALY,2.1172920858108824
screw_allenkey_1,203.75314,ANOMALY,5.316909163045168
unscrew,0.86991,ANOMALY,-0.1393655209605117
screw,0.59226215,ANOMALY,-0.5238059211684457
screw_1432,11.034516,ANOMALY,2.4010281783027607
screw,0.53877497,ANOMALY,-0.618457290610374
screw,0.66985595,ANOMALY,-0.40069258971293864
screw_1342,15.270892,ANOMALY,2.7259485327176294
screw_allenkey_2,220.18591,ANOMALY,5.394472234957019
unscrew_allenkey_2,230.13826,ANOMALY,5.438680258751453
screw_2413,8.140446,ANOMALY,2.09684496966826
unscrew_allenkey_1,213.72714,ANOMALY,5.364700154729171
