ENG_CLASS,RECONSTRUCTION_ERROR,TYPE_DATASET
screw_allenkey_2,216.53143,ANOMALY
screw_allenkey_1,199.491,ANOMALY
screw_1432,7.4202824,ANOMALY
screw_1432,11.000206,ANOMALY
screw_1432,12.719404,ANOMALY
screw,0.5967699,ANOMALY
screw_1342,13.644436,ANOMALY
unscrew_allenkey_2,230.10332,ANOMALY
screw_allenkey_1,208.72919,ANOMALY
unscrew_allenkey_2,236.30374,ANOMALY
screw_1234,19.890316,ANOMALY
unscrew_allenkey_1,204.18314,ANOMALY
screw,0.79625475,ANOMALY
screw,0.76327443,ANOMALY
unscrew_allenkey_2,227.27051,ANOMALY
unscrew_allenkey_2,219.49036,ANOMALY
screw_1234,9.898359,ANOMALY
screw_allenkey_1,215.35577,ANOMALY
screw_allenkey_2,223.91013,ANOMALY
screw_1432,10.724851,ANOMALY
unscrew_allenkey_2,229.97246,ANOMALY
unscrew,12.824398,ANOMALY
screw_1432,11.5763035,ANOMALY
unscrew_allenkey_1,213.9938,ANOMALY
unscrew_allenkey_1,228.32428,ANOMALY
screw_allenkey_1,224.15347,ANOMALY
screw_1234,9.514954,ANOMALY
screw_1432,7.5483656,ANOMALY
unscrew_allenkey_2,229.57706,ANOMALY
unscrew_allenkey_1,204.79672,ANOMALY
unscrew,3.7992344,ANOMALY
screw_1342,11.41221,ANOMALY
screw_2413,6.9849586,ANOMALY
screw_1234,11.133934,ANOMALY
screw_1342,14.239514,ANOMALY
unscrew_allenkey_1,207.09639,ANOMALY
unscrew_allenkey_1,219.02399,ANOMALY
unscrew,29.508684,ANOMALY
unscrew_allenkey_2,225.40903,ANOMALY
screw_allenkey_1,198.9755,ANOMALY
unscrew_allenkey_1,234.43408,ANOMALY
screw,0.47669703,ANOMALY
screw,0.6044054,ANOMALY
screw_allenkey_2,234.9587,ANOMALY
screw_1432,7.593448,ANOMALY
unscrew,16.711716,ANOMALY
screw_1234,13.80435,ANOMALY
unscrew_allenkey_2,211.78975,ANOMALY
screw_2413,6.551959,ANOMALY
screw_1234,11.163782,ANOMALY
unscrew,1.637047,ANOMALY
screw,0.79729956,ANOMALY
unscrew_allenkey_1,198.52478,ANOMALY
screw_1432,10.761713,ANOMALY
screw_1234,8.308608,ANOMALY
screw_allenkey_1,203.75314,ANOMALY
unscrew,0.86991,ANOMALY
screw,0.59226215,ANOMALY
screw_1432,11.034516,ANOMALY
screw,0.53877497,ANOMALY
screw,0.66985595,ANOMALY
screw_1342,15.270892,ANOMALY
screw_allenkey_2,220.18591,ANOMALY
unscrew_allenkey_2,230.13826,ANOMALY
screw_2413,8.140446,ANOMALY
unscrew_allenkey_1,213.72714,ANOMALY
unscrew_allenkey_2,226.78601,ANOMALY
screw_allenkey_1,212.0447,ANOMALY
screw_allenkey_2,223.39375,ANOMALY
screw_allenkey_2,226.76372,ANOMALY
unscrew_allenkey_1,203.27576,ANOMALY
screw_2413,6.0165534,ANOMALY
screw_2413,5.874301,ANOMALY
screw_2413,6.014466,ANOMALY
screw_1342,7.3119836,ANOMALY
screw_1432,10.0629425,ANOMALY
unscrew_allenkey_2,199.43153,ANOMALY
screw_1342,6.4199896,ANOMALY
unscrew,1.5726688,ANOMALY
screw_1432,13.170652,ANOMALY
screw_1234,7.8818116,ANOMALY
unscrew_allenkey_1,234.33643,ANOMALY
screw_2413,7.034827,ANOMALY
screw_1342,10.659634,ANOMALY
screw_allenkey_2,223.07428,ANOMALY
screw_1234,9.202117,ANOMALY
screw,0.3898608,ANOMALY
